Gene ID,C12T1,C12T7,C14T1,C14T9,C23T7,C23T8,C26T10A,C26T9A,C27T10A,C27T9A,C28T7,C28T8,C10T5B,C10T6,C15T11A,C15T9,C16T10,C16T12A,C21T16,C21T7C,C4T11A,C4T12A,C6T10,C6T9,Gene Symbol,Aliases,Entrez ID,Ensembl ID,GO Accession
936256,7.4940963,7.080036,7.2765865,6.7673054,6.9971247,7.523051,7.195907,7.5024467,7.4676642,6.881127,7.010777,7.0142326,7.046279,7.104819,6.701456,6.7429185,7.047798,7.1557674,7.4544044,7.369704,6.73576,7.034837,6.7623563,6.879802,BSU00770,,936256,,GO:0004156|GO:0009396
937976,6.6076293,5.8989825,6.0765786,6.052849,6.304977,6.657208,5.8821406,6.452639,5.8152933,5.887138,6.176994,5.972651,5.1750097,6.434358,5.397699,6.1452184,6.089739,5.9851217,6.3297067,6.0037403,6.132621,6.1001987,5.6614513,5.7507954,BSU00780,,937976,,GO:0004150|GO:0006760
936940,6.8513384,6.559621,6.5454516,6.4423523,6.434213,7.057766,6.542972,6.73517,6.622026,6.313111,6.4881983,6.6801515,6.705468,6.3503804,6.109895,6.3182244,6.4291615,6.523627,6.689825,6.5719957,6.3371334,6.649996,6.7720685,6.471979,BSU00790,,936940,,GO:0003848|GO:0009396
936295,6.1573095,5.8739605,5.3186593,4.447046,5.235125,5.250162,4.926493,5.028138,5.5724096,5.4327154,5.0088615,4.60996,4.6903787,4.8884373,5.1552353,5.0371857,5.229573,5.1578965,4.662598,5.5199165,4.55399,4.9312377,6.0528846,5.989094,BSU00800,,936295,,GO:0003677
936924,9.390577,8.520138,8.076822,8.146932,8.691405,9.099337,8.239055,8.774276,8.457458,8.50271,8.782641,8.4603195,8.203852,8.525859,8.687218,8.480041,9.114493,8.823907,8.434949,8.769752,8.426236,8.456051,9.378809,9.242261,BSU00810,,936924,,
936911,9.856584,9.904102,8.683719,8.8876505,9.620884,9.910765,8.660055,9.393528,9.224562,9.116326,9.3852005,9.339518,8.764271,8.640658,9.473055,9.592563,10.24818,9.561204,9.356549,9.313519,8.984592,8.894737,10.365767,10.091452,BSU00820,,936911,,GO:0004824|GO:0005737|GO:0006430
936883,7.4842978,6.3333464,6.743205,6.853242,6.4404607,7.706122,7.6634555,7.811891,7.5822463,7.136901,7.3745375,7.031639,8.555293,7.498997,7.5994906,5.580906,5.604975,6.944891,7.075605,6.4556556,7.564164,7.4152937,6.42485,6.5552588,BSU00830,,936883,,
936845,7.437673,5.906893,7.3956413,7.279215,6.36417,7.832525,7.59979,8.068875,7.971527,7.3701816,7.6048913,7.1950088,8.918933,8.194096,7.7652354,6.8213315,5.9852476,6.97097,7.608944,6.781074,7.9522567,7.635348,6.2678814,6.1598525,BSU00840,,936845,,
936939,8.853256,7.3464746,9.41483,9.259112,8.511487,9.474648,9.250514,9.376374,9.73284,8.936237,9.223153,8.645635,10.198097,9.8881445,9.213677,8.8177,7.639754,8.512649,9.8064,8.894328,9.621646,9.563734,7.674423,7.5446496,BSU00850,,936939,,
938481,10.484114,9.089337,11.909316,12.174173,11.190144,11.70551,11.01719,11.488005,11.709464,11.24848,12.423149,11.7538185,12.282965,12.141358,10.956073,11.384237,10.19231,10.749389,12.011066,11.154799,11.652584,11.767173,9.7408285,9.447454,BSU00860,,938481,,GO:0030420
